Customer_Name,Customer_ID
"АО ""БТК Групп""",1
АО «ЦКБМ»,2
ООО Ле Монлид,3
ТОП ИНДАСТРИАЛ СЕРВИСИЗ,4
"ООО ГК ""Дарница""",5
ООО ТЕХМАШ ГРУПП,6
"ООО ""Хлебный дом""",7
ПИТ-ПРОДУКТ,8
Логистик Систем,9
Интернет-Решения Бугры,10
Интернет-Решения,11
Интернет-Решения (ПСЦ Колпино),12
ООО БРЛ,13
ОЗОН Комьюнити,14
Ай Би Фэсилити,15
"ООО ""ММЦ""",16
СК-Сервис,17
Интернет-Решения ФФ Шушары,18
Интернет-Решения Волхонское,19
,20
ООО Кадры 24,21
Интернет-Решения ЛЦ Горское,22
СИБ ТРЕЙД,23
Сервис Плюс,24
ООО НТК,25
Оглаенд Систем,26
СиДжей Равиолло Рус,27
"ООО ""РЕЗЕРВ""",28
СМУ-2,29
ООО Теплореконструкция,30
УК АСК Групп,31
ООО Формация,32
Фокус,33
Сатурн,34
ООО Северные Сети,35
Интернет-Решения (КГТ Волхонское),36
Один,37
ПАО «Россети Ленэнерго»,38
ООО «Тим - Профи»,39
Петрович,40
ООО РЕСПЕКТ,41
ООО Аюна,42
ООО ЛСР. Строительство-СЗ,43
НАО Перинт,44
ПАО Сбербанк,45
ИП Грушевский Никита Сергеевич,46
ИП Дмитренко Александр Викторович,47
ТИС,48
ФГУП ФЭО,49
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),50
ООО Автотранспортные технологии,51
"ООО МСК ""БЛ ГРУПП""",52
ООО МАРУСЯ,53
Бабина и КО,54
"ООО ""Би.Си.Си.""",55
ООО ЕвроТек,56
ООО АБ Инжиниринг,57
ООО Стоун Айленд,58
ООО ТИС,59
"Скоростные катера ""Мобиле Групп""",60
ООО «АртСтройДок»,61
ИП Антипенко Юлия Товьевна,62
ООО ЛекСитиСтрой,63
ООО ЧОО РН БЕЗОПАСНОСТЬ,64
"ООО ""Текманн""",65
АО ЮЗ ТЭЦ,66
ООО ВЕСТА РЕГИОНЫ,67
ИП Добровольский,68
Интернет-Решения ДС Волхонский,69
Интернет-Решения Раум Бугры,70
АПГ Восточная Европа,71
ООО Хонор,72
Интернет-Решения РЦ Бугры,73
НПО Промет,74
Интернет-Решения ЛЦ Шушары,75
ПанБалтСервис,76
Гостинн Сервис (ПанБалтСервис),77
ООО Т2 Мобайл,78
ООО УК 55,79
"ООО ""Ресторанная Служба"" 8-962-720-63-65",80
Интернет-Решения ЛЦ Парголово,81
АНО ДПО «РАТМЕД»,82
Грин Строй,83
ТрансСервисГрупп,84
ИП Чумилин,85
